goos: linux
goarch: arm64
pkg: project/benchmark
BenchmarkEnvelopeDeserialize/JSON/5Attrs-4       	   21169	    283466 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/5Attrs-4       	   21141	    283767 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/5Attrs-4       	   21154	    283638 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/5Attrs-4       	   21138	    283753 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/5Attrs-4       	   21165	    283506 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/5Attrs-4       	   21159	    283675 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/5Attrs-4       	   21180	    283430 ns/op	      5482 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/5Attrs-4       	  473570	     12666 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/5Attrs-4       	  459960	     12659 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/5Attrs-4       	  468274	     12730 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/5Attrs-4       	  475394	     12753 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/5Attrs-4       	  453219	     12793 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/5Attrs-4       	  472213	     12673 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/5Attrs-4       	  467748	     12637 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBOR/5Attrs-4       	  468350	     12663 ns/op	      4114 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/5Attrs-4         	  516032	     11489 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/5Attrs-4         	  498350	     11582 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/5Attrs-4         	  524883	     11514 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/5Attrs-4         	  514480	     11658 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/5Attrs-4         	  500986	     11499 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/5Attrs-4         	  497323	     11600 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/5Attrs-4         	  488169	     11642 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/CBORKeyAsInt/5Attrs-4         	  522180	     11531 ns/op	      4083 envelope_bytes/op	      4072 raw_bytes/op	         0 throttled
PASS
goos: linux
goarch: arm64
pkg: project/benchmark
BenchmarkEnvelopeSerialize/JSON/10Attrs-4         	   88369	     67676 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/10Attrs-4         	   87927	     67582 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/10Attrs-4         	   88798	     67518 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/10Attrs-4         	   88647	     67506 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/10Attrs-4         	   88603	     67484 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/10Attrs-4         	   88903	     67462 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/10Attrs-4         	   88892	     67551 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/JSON/10Attrs-4         	   88354	     67595 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/10Attrs-4         	  424062	     14326 ns/op	      5879 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/10Attrs-4         	  407331	     14179 ns/op	      5879 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/10Attrs-4         	  420578	     14044 ns/op	      5879 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/10Attrs-4         	  411266	     14031 ns/op	      5879 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/10Attrs-4         	  432782	     14034 ns/op	      5879 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/10Attrs-4         	  429417	     14052 ns/op	      5879 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/10Attrs-4         	  420728	     14067 ns/op	      5879 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBOR/10Attrs-4         	  406696	     14066 ns/op	      5879 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/10Attrs-4 	  426050	     13957 ns/op	      5848 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/10Attrs-4 	  423196	     13882 ns/op	      5848 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/10Attrs-4 	  418609	     13962 ns/op	      5848 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/10Attrs-4 	  437568	     14027 ns/op	      5848 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/10Attrs-4 	  414324	     13966 ns/op	      5848 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/10Attrs-4 	  432819	     13988 ns/op	      5848 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/10Attrs-4 	  430165	     13924 ns/op	      5848 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeSerialize/CBORKeyAsInt/10Attrs-4 	  424494	     14004 ns/op	      5848 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/10Attrs-4       	   14985	    400247 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/10Attrs-4       	   15001	    399842 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/10Attrs-4       	   15004	    399905 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
BenchmarkEnvelopeDeserialize/JSON/10Attrs-4       	   15001	    399997 ns/op	      7834 envelope_bytes/op	      5837 raw_bytes/op	         0 throttled
